index,name,score,type,stars,time,thumb,country,runtime,company,first_week_box_office,total_box_office
3,中国乒乓之绝地反击,9.4,剧情／运动,邓超／孙俪／许魏洲,2023-02-17 09:00,https://p0.pipi.cn/mmdb/fb7386028ea51bc696d236c6bbfaa5c63447d.jpg?imageView2/1/w/218/h/300,中国大陆 ,137,厦门恒业牧马人影视文化传播有限公司,2019,10094
4,银河补习班,9.4,剧情／家庭,邓超／白宇／任素汐,2019-07-18,https://p0.pipi.cn/mmdb/d2dad5925370fad7c3d23c9d7314118180225.jpg?imageView2/1/w/218/h/300,中国大陆 ,147,天津橙子映像传媒有限公司,35737,87832
5,峰爆,9.4,剧情／灾难／动作,朱一龙／黄志忠／陈数,2021-09-17,https://p0.pipi.cn/mmdb/d2dad5927a39abe5bc7df5ece75730232f1d1.jpg?imageView2/1/w/218/h/300,中国大陆 ,114,中国电影股份有限公司,12163,43819
6,红海行动,9.4,剧情／动作,张译／黄景瑜／海清,2018-02-16,https://p0.pipi.cn/mmdb/d2dad5920308079ab4339e8508af7660ac69e.jpg?imageView2/1/w/218/h/300,中国大陆 ,138,北京博纳影业集团有限公司,46500,365228
7,烈火英雄,9.4,灾难／动作／剧情,黄晓明／杜江／谭卓,2019-08-01,https://p0.pipi.cn/mmdb/d2dad5925375bf9ab4c7edce63fcebde3bca1.jpg?imageView2/1/w/218/h/300,中国大陆 ,120,辽宁凯曼影视文化股份有限公司(摄制),51744,170685
8,五个扑水的少年,9.4,剧情／喜剧／青春,辛云来／冯祥琨／李孝谦,2021-10-01,https://p0.pipi.cn/mmdb/25bfd6877e1f2a8ea321f0ebe61fd697c173d.jpg?imageView2/1/w/218/h/300,中国大陆 ,111,北京光线影业有限公司,1629,6913
9,金刚川,9.4,战争／剧情／历史,张译／吴京／李九霄,2020-10-23 08:00,https://p0.pipi.cn/mmdb/d2dad5927a3be121f0338f4b3dd0bcafec4f3.jpg?imageView2/1/w/218/h/300,中国大陆 ,122,中国电影股份有限公司,35870,112702
10,我才不要和你做朋友呢,9.4,喜剧／青春,庄达菲／陈昊宇／王皓,2024-06-08 09:00,https://p0.pipi.cn/mmdb/54ecde71338ddd030c50c813e19b261e9b8a6.jpg?imageView2/1/w/218/h/300,中国大陆 ,114,万达影视传媒有限公司,1,5772
11,革命者,9.4,剧情／历史,张颂文／马少骅／李易峰,2021-07-01 08:00,https://p0.pipi.cn/mmdb/d2dad5927a387a9235be2a06b2fb86bc2ba53.jpg?imageView2/1/w/218/h/300,中国大陆 ,121,北京光线影业有限公司,6987,13692
12,指环王：王者无敌,9.4,剧情／动作／奇幻／冒险,伊莱贾·伍德／伊恩·麦克莱恩／肖恩·奥斯汀,2004-03-15,https://p0.pipi.cn/mmdb/d2dad592c7e7e18ea32ff7ff2c76bb3f3a51a.jpg?imageView2/1/w/218/h/300,"美国,新西兰 ",201,美国新线电影公司,暂无,12005
13,误杀,9.4,剧情／犯罪,肖央／谭卓／陈冲,2019-12-13,https://p0.pipi.cn/mmdb/d2dad5925372fff2aabe12416024f1c8c5f88.jpg?imageView2/1/w/218/h/300,中国大陆 ,112,内蒙古恒业牧马人影视文化传播有限公司,20387,133312
14,雄狮少年,9.4,动画／喜剧,李昕／陈业雄／郭皓,2021-12-17 08:00,https://p0.pipi.cn/mmdb/d2dad52f87a51bddd2030c35399b36dbdd425.jpg?imageView2/1/w/218/h/300,中国大陆 ,104,广州易动文化传播有限公司,4777,24965
15,波西米亚狂想曲,9.4,剧情／音乐／传记,拉米·萨义德·马雷克／本·哈迪／约瑟夫•梅泽罗,2019-03-22,https://p0.pipi.cn/mmdb/d2dad5920307e1ddd2cbae05128c66c6920a3.jpg?imageView2/1/w/218/h/300,英国 ,134,GK Films,4181,9907
16,阿凡达,9.4,动作／科幻／冒险,萨姆·沃辛顿／佐伊·索尔达娜／米歇尔·罗德里格兹,2010-01-04,https://p0.pipi.cn/mmdb/25bfd62f92306d71f7ddd23a13b6ae6af4674.jpg?imageView2/1/w/218/h/300,"美国,英国 ",162,美国二十世纪影业公司,暂无,171539
17,小萝莉的猴神大叔,9.4,剧情／喜剧,萨尔曼·汗／卡琳娜·卡普／哈莎莉·马洛特拉,2018-03-02,https://p0.pipi.cn/mmdb/d2dad5927e10fa7e12030cceeac3113833bdd.jpg?imageView2/1/w/218/h/300,印度 ,141,卡比尔·汗影业,5409,28560
18,看不见的客人,9.4,犯罪／悬疑／惊悚,马里奥·卡萨斯／阿娜·瓦格纳／何塞·卡罗纳多,2017-09-15,https://p0.pipi.cn/mmdb/d2dad59206df2a338fc9fd676f3efadd31ea1.jpg?imageView2/1/w/218/h/300,西班牙 ,106,西班牙创意影视公司,3261,17258
19,普罗米亚,9.4,动作／科幻／动画,松山健一／早乙女太一／堺雅人,2021-06-05,https://p0.pipi.cn/mmdb/d2dad5925379238d332c956fe4f8cad316e30.jpg?imageView2/1/w/218/h/300,日本 ,112,日本XFLAG工作室,565,2014
20,守岛人,9.4,剧情,刘烨／宫哲／侯勇,2021-06-18,https://p0.pipi.cn/mmdb/fb7386dd338923b86021f03b9aba9f07cd3aa.jpg?imageView2/1/w/218/h/300,中国大陆 ,125,解放军八一电影制片厂,1948,13839
21,机器人之梦,9.4,动画／家庭,伊万·拉班达／阿尔伯特·特里佛·塞加拉／拉法·卡尔沃,2024-06-08 09:00,https://p0.pipi.cn/mmdb/54ecde7133951b7df5b5355ba9bf8e2ad643e.jpg?imageView2/1/w/218/h/300,"西班牙,法国 ",102,西班牙阿卡迪亚电影公司,15,225
22,我们是第一书记,9.4,纪录片,,2021-12-03,https://p0.pipi.cn/mmdb/d2dad52f8d3dddb8600e13867c67ba9109a67.jpg?imageView2/1/w/218/h/300,中国大陆 ,85,新华网股份有限公司,121,345
